Code,Room Type,Room Size,Bed Configuration,Max Occupancy,Room Price
55,Deluxe Double Room with Balcony,1,1 full bed,77,112
55,Standard Triple Room,242,3 twin beds,77,69
55,Standard Family Room,1,"1 full bed and, 2 sofa beds",77,55
56,Double Room,1,1 queen bed,11,66
56,One-Bedroom Villa,258,2 full beds,11,90
56,Comfort Quadruple Room,388,3 full beds,11,96
56,Family Room with Balcony,1,1 queen bed,11,136
57,Standard Double Room with Shared Bathroom,161,1 full bed,18,50
57,Standard Twin Room with Shared Bathroom,237,1 full bed,18,72
57,Deluxe Room,288,2 bunk beds,18,50
57,Bed in 8-Bed Mixed Dormitory Room,172,1 full bed,18,72
58,Superior Double or Twin Room,323,2 twin beds,6,56
58,Quadruple Room,474,1 queen bed,6,74
59,Two-Bedroom Villa,1184,N/A,11,"149, 158, 168, 186, 130"
60,Five-Bedroom House,2583,N/A,1,255
61,Three-Bedroom Home,936,N/A,2,"211, 213"
62,Three-Bedroom Villa,2734,N/A,1,426
63,"Two-Bedroom Townhouse, Two-Bedroom House, Six-Bedroom House","915, 1076, 2153",N/A,15,"78, 83, 92, 103, 161, 172"
64,Two-Bedroom Villa,4123,N/A,1,241
65,Cottage,2583,N/A,1,230
66,Apartment,1722,N/A,11,"62, 83, 117, 124, 137, 138, 48"
67,One-Bedroom Apartment,5382,N/A,10,"257, 294, 327, 331, 335, 338, 342, 346, 349, 368"
68,Three-Bedroom Apartment,936,N/A,2,"137, 138"
69,Standard Double or Twin Room,1,"2 twin beds and, 1 sofa bed",12,56
69,Superior Double or Twin Room,280,1 full bed,12,97
69,Studio with Garden View,1,"2 twin beds and, 1 sofa bed",12,92
70,Apartment,258,N/A,1,304
71,Double or Twin Room with Bathroom,172,2 twin beds,2,77
72,Deluxe King Room with Mountain View,1,1 king bed,20,178
72,Superior King Room with Panoramic Mountain View,420,1 king bed,20,187
72,Executive King Room with Balcony,1,1 king bed,20,204
73,Three-Bedroom Apartment,1076,N/A,22,"69, 77, 80, 89, 100, 111, 115, 128, 57, 64"
74,Apartment with Mountain View,597,N/A,4,51
75,Deluxe Villa,4876,N/A,1,307
76,Triple Room with Mountain View,N/A,"1 full bed and, 1 bunk bed",6,"61, 76, 42"
77,Two-Bedroom Villa,872,N/A,1,102
78,"Deluxe Villa, Deluxe Villa, Deluxe Villa, Deluxe Villa, Deluxe Villa","807, 807, 1076, 1076, 1130",N/A,57,"132, 140, 156, 125, 141, 150, 166, 183, 133, 157, 166, 185, 203, 222, 148, 157, 166, 185, 203, 222, 148, 169, 179, 199, 219, 239, 159"
79,Two-Bedroom Chalet,3003,N/A,1,307
80,Holiday Home,700,N/A,3,"78, 64"
81,Twin Room,1,2 twin beds,22,80
81,Double Room,215,1 king bed,22,89
81,Double Room with Balcony,1,1 king bed,22,102
81,Deluxe Double Room,215,"1 king bed and, 1 sofa bed",22,102
81,Suite with Balcony,1,2 twin beds,22,115
81,Two-Bedroom Cottage,215,1 king bed,22,128
81,Superior Suite,1,1 king bed,22,140
81,Two-Bedroom Cottage,215,"1 king bed and, 1 sofa bed",22,131
82,"Three-Bedroom House, Two-Bedroom House","1076, 1076",N/A,25,"37, 64, 84, 109, 123, 124, 128, 20, 51, 77, 102, 128, 26"
83,Double or Twin Room,1,1 full bed,26,97
83,Deluxe Room,194,"2 twin beds and, 1 queen bed",26,133
83,Suite with Mountain View,1,1 full bed,26,158
83,Junior Suite,441,1 queen bed,26,171
83,Family Room with Mountain View,431,"2 full beds and, 1 sofa bed",26,197
83,Family Suite,452,"2 twin beds and, 1 queen bed",26,184
84,Family Room,323,1 queen bed,5,38
84,Double Room with Extra Bed,237,1 full bed,5,38
84,Small Single Room,161,1 twin bed,5,23
85,Two-Bedroom House,1001,N/A,1,192
86,Villa,2583,N/A,24,"98, 115, 119, 140, 141, 166, 165, 194, 180, 212, 195, 230"
87,Holiday Home,646,N/A,22,"38, 46, 41, 51, 51, 64, 64, 77, 77, 89"
88,Two-Bedroom Apartment,624,N/A,20,"49, 54, 52, 57, 57, 64, 46, 51"
89,Two-Bedroom Apartment,215,N/A,10,"49, 52, 57, 46"
90,Two-Bedroom House,700,N/A,22,"59, 86, 67, 95, 75, 105, 82, 118, 87, 128"
91,Two-Bedroom Villa,1033,N/A,4,102
92,Quadruple Room,1,"2 twin beds and, 1 full bed and, 1 sofa bed",15,38
92,Twin Room,312,2 twin beds,15,51
93,One-Bedroom Villa,861,N/A,20,"41, 44, 47, 49, 44, 47, 50, 55"
94,Standard Double Room with Shared Bathroom,215,1 full bed,3,51
95,Two-Bedroom Apartment,581,N/A,4,192
96,Quadruple Room,1,"1 twin bed and, 1 sofa bed and, 1 queen bed",75,43
96,Double or Twin Room,323,"1 twin bed and, 1 sofa bed and, 1 queen bed",75,48
96,Studio - Split Level,1,"1 full bed and, 1 queen bed",75,60
96,Classic Triple Room,377,"1 twin bed and, 1 sofa bed and, 1 queen bed",75,39
97,Apartment,1755,N/A,28,"51, 56, 53, 59, 57, 63, 89, 98, 114, 126, 125, 139, 119, 126, 38, 42"
98,King Suite with Balcony,323,1 twin bed,19,101
98,King Studio with Sofa Bed,431,1 twin bed,19,121
